省份,城市,银行名称,支行名称,联行号
北京市,北京市,中国工商银行,中国工商银行股份有限公司牡丹卡中心,102100005001
北京市,北京市,中国工商银行,中国工商银行股份有限公司票据营业部北京分部,102100010022
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京大郊亭支行,102100004847
北京市,北京市,中国工商银行,中国工商银行多哈人民币清算行,102100088880
北京市,北京市,中国工商银行,中国工商银行多伦多人民币清算行,102100088994
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京南十里居支行,102100020671
北京市,北京市,中国工商银行,中国工商银行股份有限公司卢森堡人民币清算行,102100099961
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京大钟寺东路支行,102100015163
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京双桥新村支行,102100023026
北京市,北京市,中国工商银行,中国工商银行股份有限公司曼谷人民币清算行,102100061653
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京方成支行,102100021029
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京裕民支行,102100029228
北京市,北京市,中国工商银行,中国工商银行股份有限公司新加坡人民币清算行,102100099988
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京东铁匠营支行,102100000048
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京西单支行,102100021037
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京红莲支行,102100022371
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京北七家支行,102100029236
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京广渠门外支行,102100021844
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京青塔支行,102100000827
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京百荣世贸路支行,102100000886
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京北太平庄支行,102100001008
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京大兴支行,102100001145
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京城关支行,102100001153
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京南口支行,102100001161
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京沙河支行,102100001170
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京东升路支行,102100000626
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京云岗支行,102100000642
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京东高地支行,102100000659
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京管庄支行,102100000683
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京紫竹院支行,102100000763
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京琉璃厂支行,102100000802
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京体育馆路支行,102100000819
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京望京支行,102100000353
北京市,北京市,中国工商银行,中国工商银行股份有限公司北京礼士路支行,102100000361
